doc_id,category,BLEU,ROUGE-L,OrigIntent_F1,SIM_F1,LLM_Judge
IND_26,Land Dispute,0.4215735280635501,0.41148325358851673,0.18872870249017037,0.717391304347826,4
IND_27,Land Dispute,0.5198689202149243,0.5903133903133904,0.29268292682926833,0.684317718940937,4
IND_28,Land Dispute,0.1581146564933278,0.24,0.05934718100890207,0.8140703517587939,4
IND_29,Land Dispute,0.29563999506217287,0.3963279518835074,0.15686274509803919,0.7843137254901961,4
IND_30,Land Dispute,0.18629380069994453,0.2707423580786026,0.12987012987012989,0.7055245818550431,4
IND_31,Corruption,0.22499631501626743,0.28154205607476634,0.18918918918918917,0.738095238095238,4
IND_32,Corruption,0.17412927013341334,0.29101707498144025,0.13513513513513511,0.7243243243243244,4
IND_33,Corruption,0.2846772555003669,0.2986627043090639,0.14545454545454545,0.5901639344262295,4
IND_34,Corruption,0.2395694711229889,0.303921568627451,0.07142857142857142,0.4888888888888888,4
IND_35,Corruption,0.3877041587339473,0.42622950819672123,0.26666666666666666,0.7489711934156379,5
IND_36,Corruption,0.3352683046251485,0.42071197411003236,0.18045112781954886,0.7692307692307693,5
IND_37,Corruption,0.3130824188413996,0.3594884203249222,0.14814814814814817,0.8865435356200527,5
IND_38,Corruption,0.1838452866312209,0.265666372462489,0.08350730688935282,0.65961049957663,4
IND_39,Corruption,0.11602407477105965,0.43300423131170657,0.500595947556615,0.7297297297297298,4
IND_40,Corruption,0.2581811982966205,0.3695345557122708,0.16597510373443983,0.7804878048780488,4
IND_41,Murder,0.26248257611690495,0.3216995447647952,0.17427385892116182,0.7510173880873103,4
IND_42,Murder,0.07566864314411316,0.20887728459530025,0.06451612903225808,0.6075949367088607,4
IND_43,Murder,0.19558628785725163,0.32044198895027626,0.13333333333333333,0.7499999999999999,4
IND_44,Murder,0.20650194487966536,0.2663284717818643,0.11904761904761904,0.6506153023006956,5
IND_45,Murder,0.14548870502906971,0.23516835916622128,0.15652173913043477,0.756,5
IND_46,Murder,0.06015760698946887,0.11764705882352938,0.03550295857988166,0.6899563318777292,5
IND_47,Murder,0.26816069951446464,0.28882833787465934,0.09523809523809525,0.3137254901960785,4
IND_48,Murder,0.2149752659746558,0.2177348551360843,0.1090909090909091,0.628415300546448,5
IND_49,Murder,0.05527742680557862,0.11488511488511488,0.04395604395604396,0.5616724738675958,4
IND_50,Murder,0.2566363843670371,0.34682080924855496,0.18461538461538463,0.7434782608695653,4
IND_51,Land Dispute,0.19311650394040691,0.2470799640610961,0.11944869831546708,0.6787003610108303,3
IND_52,Land Dispute,0.3006442666037974,0.3610223642172524,0.08695652173913043,0.5298013245033112,4
IND_53,Land Dispute,0.28220553392011627,0.4115308151093439,0.163265306122449,0.5801526717557252,4
